freq,rx,tx,user,band
4.513,4.513,ไม่มี,สำนักงานศาลยุติธรรม,HF
4.526,4.526,ไม่มี,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,HF
4.54,4.54,ไม่มี,ทหารสื่อสาร,HF
4.545,4.545,ไม่มี,กรมอุทยานแห่งชาติ สัตว์ป่าและพันธุ์พืช,HF
4.565,4.565,ไม่มี,ทหารสื่อสาร,HF
4.595,4.595,4.595,บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด,HF
4.63,4.63,ไม่มี,กรมสื่อสารทหารเรือ,HF
4.635,4.635,ไม่มี,บริษัท ขนส่ง จำกัด,HF
4.668,4.668,4.668,กองทัพอากาศ,HF
4.67,4.67,4.67,กองทัพอากาศ,HF
4.6815,4.6815,ไม่มี,ทหารสื่อสาร,HF
4.689,4.689,4.689,กองทัพอากาศ,HF
4.709,4.709,4.709,กองทัพอากาศ,HF
4.715,4.715,4.715,กองทัพอากาศ,HF
4.7175,4.7175,4.7175,กองทัพอากาศ,HF
4.718,4.718,4.718,กองทัพอากาศ,HF
4.721,4.721,4.721,กองทัพอากาศ,HF
4.724,4.724,4.724,กองทัพอากาศ,HF
4.7245,4.7245,4.7245,กองทัพอากาศ,HF
4.7315,4.7315,4.7315,ตำรวจ,HF
4.77,4.77,4.77,ตำรวจ,HF
4.78,4.78,4.78,กองทัพอากาศ,HF
4.783,4.783,ไม่มี,ทหารสื่อสาร,HF
4.785,4.785,4.785,กองทัพอากาศ,HF
4.79,4.79,4.79,ตำรวจ,HF
4.8,4.8,ไม่มี,ทหารสื่อสาร,HF
4.805,4.805,ไม่มี,ทหารสื่อสาร,HF
4.814,4.814,ไม่มี,กระทรวงศึกษาธิการ,HF
4.84,4.84,4.84,ตำรวจ,HF
4.85,4.85,4.85,ตำรวจ,HF
4.855,4.855,ไม่มี,ทหารสื่อสาร,HF
4.866,4.866,ไม่มี,ความถี่กลาง,HF
4.869,4.869,ไม่มี,ความถี่กลาง,HF
4.875,4.875,ไม่มี,ทหารสื่อสาร,HF
4.8765,4.8765,ไม่มี,ทหารสื่อสาร,HF
4.88,4.88,4.88,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน,HF
4.89,4.89,ไม่มี,ทหารสื่อสาร,HF
4.8915,4.8915,ไม่มี,ทหารสื่อสาร,HF
4.9,4.9,ไม่มี,ทหารสื่อสาร,HF
4.9015,4.9015,ไม่มี,ทหารสื่อสาร,HF
4.912,4.912,ไม่มี,กรมทางหลวง,HF
4.92,4.92,ไม่มี,ทหารสื่อสาร,HF
4.93,4.93,4.93,ตำรวจ,HF
4.94,4.94,ไม่มี,ทหารสื่อสาร,HF
4.945,4.945,ไม่มี,บริษัท เชฟรอนประเทศไทยสำรวจและผลิต จำกัด,HF
4.96,4.96,ไม่มี,ทหารสื่อสาร,HF
4.9615,4.9615,ไม่มี,ทหารสื่อสาร,HF
4.965,4.965,ไม่มี,ทหารสื่อสาร,HF
4.97,4.97,4.97,ตำรวจ,HF
4.978,4.978,ไม่มี,ทหารสื่อสาร,HF
4.987,4.987,4.987,กองทัพอากาศ,HF
5.025,5.025,ไม่มี,ทหารสื่อสาร,HF
5.03,5.03,ไม่มี,ทหารสื่อสาร,HF
5.041,5.041,5.041,ตำรวจ,HF
5.065,5.065,5.065,กองทัพอากาศ,HF
5.07,5.07,5.07,ธนาคารออมสิน,HF
5.11,5.11,5.11,ตำรวจ,HF
5.115,5.115,ไม่มี,ทหารสื่อสาร,HF
5.124,5.124,ไม่มี,กรมประมง,HF
5.13,5.13,ไม่มี,ทหารสื่อสาร,HF
5.136,5.136,ไม่มี,กรมอุตุนิยมวิทยา,HF
5.145,5.145,ไม่มี,ทหารสื่อสาร,HF
5.15,5.15,ไม่มี,ทหารสื่อสาร,HF
5.16,5.16,ไม่มี,ทหารสื่อสาร,HF
5.165,5.165,5.165,ทหารสื่อสาร,HF
5.17,5.17,ไม่มี,ทหารสื่อสาร,HF
5.1715,5.1715,ไม่มี,ทหารสื่อสาร,HF
5.182,5.182,ไม่มี,ทหารสื่อสาร,HF
5.19,5.19,ไม่มี,ทหารสื่อสาร,HF
5.1915,5.1915,ไม่มี,ทหารสื่อสาร,HF
5.2,5.2,0.0,กรมการขนส่งทางบก,HF
5.21,5.21,5.21,ตำรวจ,HF
5.22,5.22,5.22,ตำรวจ,HF
5.23,5.23,5.23,ตำรวจ,HF
5.235,5.235,0.0,ทหารสื่อสาร,HF
5.24,5.24,5.24,ตำรวจ,HF
5.245,5.245,0.0,ทหารสื่อสาร,HF
5.257,5.257,5.257,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,HF
5.275,5.275,5.275,ตำรวจ,HF
5.29,5.29,5.29,ตำรวจ,HF
5.3,5.3,0.0,ทหารสื่อสาร,HF
5.32,5.32,5.32,ตำรวจ,HF
5.33,5.33,0.0,ทหารสื่อสาร,HF
5.333,5.333,0.0,ทหารสื่อสาร,HF
5.341,5.341,0.0,ทหารสื่อสาร,HF
5.357,5.357,0.0,ทหารสื่อสาร,HF
5.365,5.365,0.0,ทหารสื่อสาร,HF
5.4,5.4,0.0,ทหารสื่อสาร,HF
5.42,5.42,5.42,ธนาคารออมสิน,HF
5.43,5.43,0.0,กรมการขนส่งทางบก,HF
